fileName, Quadrant, Quadrant Angle, Vessel, Vessel Length, Space taker, Space taker, Space taker, Tortuosity Index, Quadrant Tortuosity, Tortuosity Max, Dilation Index, Quadrant Dilation, Dilation Minimum, Dilation Maximum, Straight Length, Adjusted Tortuosity Index (ATI), sum of adjusted indices (SAI), Quadrant SAI, Tortuosity-Weighted Plus (TWP), Quadrant TWP, Macular Visible, ON (W+H)/2, ON to Mac Scaling Factor, Macul Radius , Expert Rating , Vessel Type 0; 1=A; 2=V; , Quad Dilation Max, 


E:/3-15-11/NEO42/neo42od1.jpg, 1, -3.13731, 5, 528,  ,  ,  , 5.20996, 5.20996, 5.20996, 9.39641, 9.39641, 0.00797456, 0.0153471, 100.189, 9.23795, 9.21863, 9.21863, 8.29078, 8.29078, 1, 38.5374, 7.0384, 231.569, 0, 0, 9.39641, 

E:/3-15-11/NEO42/neo42od1.jpg, 2, 86.8627, 2, 716,  ,  ,  , 5.35365, 5.35365, 5.35365, 7.1541, 7.1541, 0.00370434, 0.016771, 133.119, 9.4008, 8.09894, 8.09894, 7.4756, 7.4756, 1, 38.5374, 7.0384, 231.569, 0, 0, 7.1541, 

E:/3-15-11/NEO42/neo42od1.jpg, 3, 176.863, 3, 457,  ,  ,  , 6.24612, 6.24612, 6.24612, 7.55021, 7.55021, 0.00539146, 0.0127091, 86.8649, 10.0618, 8.61149, 8.61149, 8.18303, 8.18303, 1, 38.5374, 7.0384, 231.569, 0, 0, 7.55021, 

E:/3-15-11/NEO42/neo42od1.jpg, 4, 266.863, 1, 230,  ,  ,  , 2.8901, 3.51105, 4.132, 7.71816, 7.30329, 0.00773662, 0.0127984, 45.0532, 6.60878, 7.12533, 7.22553, 5.42537, 5.85143, 1, 38.5374, 7.0384, 231.569, 0, 0, 7.71816, 
E:/3-15-11/NEO42/neo42od1.jpg, 4, 266.863, 4, 97,  ,  ,  , 4.132,  ,  , 6.88843,  , 0.00700742, 0.0101592, 17.1378, 8.01627, 7.32573,  , 6.27749,  , 1, 38.5374, 7.0384,  ,  , 0, 7.71816, 

